League,Season,position,team,matches,wins,draws,loses,G,GA,GD,pts,SpG,Yellows,Reds,Posession%,Pass%,AerialsWon,Rating,xG,xG_diff,xGA,xGA_diff,xGD,xGD_diff,deep,deep_allowed,xpts,xpts_diff
EPL,2014,1,Chelsea,38,26,9,3,73,32,41,87,14.8,73,4,54.1,83.2,18.6,7.06,68.64332,-4.35668,31.5243441,-0.4756559,37.1189759,3.8810241,407,171,75.3172,-11.6828
EPL,2014,2,Manchester City,38,24,7,7,83,38,45,79,13.5,64,5,58.8,85.1,15.8,6.99,75.815441,-7.184559,40.499403,2.499403,35.316038,9.683962,575,144,73.0982,-5.9018
EPL,2014,3,Arsenal,38,22,9,7,71,36,35,75,16.1,68,2,55.7,83.8,19.8,7.15,69.802591,-1.197409,35.718825,-0.281175,34.083766,0.916234,398,171,75.174,0.174
EPL,2014,4,Manchester United,38,20,10,8,62,37,25,70,17.6,77,2,57,84.6,15.9,7.07,54.20686,-7.79314,39.842347,2.842347,14.364513,10.635487,267,194,63.0327,-6.9673
EPL,2014,5,Tottenham,38,19,7,12,58,53,5,64,13.4,57,3,51.9,79.7,16.9,6.91,52.385284,-5.614716,57.044148,4.044148,-4.658864,9.658864,210,232,48.9361,-15.0639
EPL,2014,6,Liverpool,38,18,8,12,52,48,4,62,15.5,66,3,54.3,82.8,14.9,6.9,51.697226,-0.302774,38.249721,-9.750279,13.447505,-9.447505,306,201,61.1673,-0.8327
EPL,2014,7,Southampton,38,18,6,14,54,33,21,60,13.9,79,4,55.2,81.2,16,6.89,54.965667,0.965667,39.11352,6.11352,15.852147,5.147853,270,183,62.8166,2.8166
EPL,2014,8,Swansea,38,16,8,14,46,49,-3,56,13.2,82,1,50.2,77.5,24.4,6.87,40.901235,-5.098765,55.94297,6.94297,-15.041735,12.041735,156,310,43.3167,-12.6833
EPL,2014,9,Stoke,38,15,9,14,48,45,3,54,11.2,48,5,50.7,82.1,14.4,6.86,46.260597,-1.739403,47.030662,2.030662,-0.770065,3.770065,195,239,51.9715,-2.0285
EPL,2014,10,Crystal Palace,38,13,9,16,47,51,-4,48,12.9,64,2,46.7,74.6,22.9,6.85,44.756683,-2.243317,45.484365,-5.515635,-0.727682,-3.272318,180,258,50.557,2.557
EPL,2014,11,West Ham,38,12,11,15,44,47,-3,47,12,50,4,44.8,71.1,23.4,6.84,46.687234,2.687234,57.402133,10.402133,-10.714899,7.714899,217,316,47.2178,0.2178
EPL,2014,12,Everton,38,12,11,15,48,50,-2,47,11.6,63,4,42.7,69.4,23.7,6.83,44.888185,-3.111815,46.182073,-3.817927,-1.293888,-0.706112,259,245,50.9105,3.9105
EPL,2014,13,West Bromwich Albion,38,11,11,16,38,51,-13,44,12.7,66,2,53.6,82.5,15.3,6.82,38.6277291,0.6277291,53.748536,2.748536,-15.1208069,2.1208069,161,283,44.7359,0.7359
EPL,2014,14,Leicester,38,11,8,19,46,55,-9,41,11.3,64,2,44,70.3,25.1,6.79,48.206401,2.206401,56.392116,1.392116,-8.185715,-0.814285,191,287,44.64,3.64
EPL,2014,15,Newcastle United,38,10,9,19,40,63,-23,39,14.1,75,3,46.3,70.8,21.7,6.77,40.221386,0.221386,51.014275,-11.985725,-10.792889,-12.207111,175,239,45.6305,6.6305
EPL,2014,16,Aston Villa,38,10,8,20,31,57,-26,38,10.8,64,3,44.9,75,17.2,6.77,33.102671,2.102671,49.706256,-7.293744,-16.603585,-9.396415,184,237,40.8917,2.8917
EPL,2014,17,Sunderland,38,7,17,14,31,53,-22,38,10.7,94,2,46.2,76.1,15.3,6.75,37.446153,6.446153,51.464371,-1.535629,-14.018218,-7.981782,153,313,44.1821,6.1821
EPL,2014,18,Hull,38,8,11,19,33,51,-18,35,11.3,73,6,45.6,76.5,21.9,6.75,32.791033,-0.208967,46.992957,-4.007043,-14.201924,-3.798076,139,261,41.3213,6.3213
EPL,2014,19,Burnley,38,7,12,19,28,53,-25,33,12.3,65,7,48.1,76.9,17.7,6.74,39.372649,11.372649,57.888856,4.888856,-18.516207,-6.483793,218,258,39.7959,6.7959
EPL,2014,20,Queens Park Rangers,38,8,6,24,42,73,-31,30,11,70,7,49.1,79,18.5,6.69,45.726091,3.726091,65.262558,-7.737442,-19.536467,-11.463533,179,298,40.2773,10.2773
EPL,2015,1,Leicester,38,23,12,3,68,36,32,81,13.7,48,3,44.7,70.5,18.8,7.06,68.416034,0.416034,45.019954,9.019954,23.39608,8.60392,217,275,68.9442,-12.0558
EPL,2015,2,Arsenal,38,20,11,7,65,36,29,71,15.1,40,4,56.9,84.2,15.2,7.08,73.530928,8.530928,33.8574794,-2.1425206,39.6734486,-10.6734486,467,192,77.0087,6.0087
EPL,2015,3,Tottenham,38,19,13,6,69,35,34,70,17.3,72,0,55.3,80.5,14.3,7.01,63.419362,-5.580638,37.080929,2.080929,26.338433,7.661567,255,182,69.4141,-0.5859
EPL,2015,4,Manchester United,38,19,9,10,49,35,14,66,16.2,61,0,55.2,83.1,15.7,7.01,45.424211,-3.575789,39.655822,4.655822,5.768389,8.231611,272,198,56.4482,-9.5518
EPL,2015,5,Manchester City,38,19,9,10,71,41,30,66,14.7,58,5,49.1,77.6,17.7,6.92,66.19736,-4.80264,37.469231,-3.530769,28.728129,1.271871,379,149,70.136,4.136
EPL,2015,6,Southampton,38,18,9,11,59,41,18,63,13.7,57,6,49.3,77.7,19.3,6.91,56.201605,-2.798395,44.291609,3.291609,11.909996,6.090004,276,194,61.0763,-1.9237
EPL,2015,7,West Ham,38,16,14,8,65,51,14,62,16.6,61,3,55,80.2,16.5,6.91,54.400567,-10.599433,55.478657,4.478657,-1.07809,15.07809,212,260,49.8002,-12.1998
EPL,2015,8,Liverpool,38,16,12,10,63,50,13,60,12.9,44,5,51.5,81.4,12.9,6.88,54.365662,-8.634338,37.8828599,-12.1171401,16.4828021,-3.4828021,373,158,63.2906,3.2906
EPL,2015,9,Stoke,38,14,9,15,41,55,-14,51,13.8,58,5,54.4,82.5,14.1,6.87,42.626573,1.626573,54.349917,-0.650083,-11.723344,-2.276656,179,257,48.3009,-2.6991
EPL,2015,10,Chelsea,38,12,14,12,59,53,6,50,11.3,65,1,55.8,82.3,13.1,6.83,54.479719,-4.520281,44.626242,-8.373758,9.853477,-3.853477,354,194,59.6233,9.6233
EPL,2015,11,Swansea,38,12,11,15,42,52,-10,47,11.7,73,3,46.3,72.6,17.4,6.8,39.958642,-2.041358,53.634229,1.634229,-13.675587,3.675587,188,254,42.3999,-4.6001
EPL,2015,12,Everton,38,11,14,13,59,55,4,47,11.6,64,2,43.3,71,17.3,6.76,53.9810719,-5.0189281,54.748804,-0.251196,-0.7677321,4.7677321,256,304,52.6915,5.6915
EPL,2015,13,Watford,38,12,9,17,40,50,-10,45,12.3,60,2,46.8,74.4,17.8,6.76,43.199637,3.199637,51.851501,1.851501,-8.651864,-1.348136,193,241,48.2545,3.2545
EPL,2015,14,West Bromwich Albion,38,10,13,15,34,48,-14,43,11.6,60,1,52,80.9,13.7,6.75,39.7528703,5.7528703,51.936846,3.936846,-12.1839757,-1.8160243,168,256,42.3035,-0.6965
EPL,2015,15,Crystal Palace,38,11,9,18,39,51,-12,42,11,51,4,50,79.1,16.4,6.74,42.50767,3.50767,52.938884,1.938884,-10.431214,-1.568786,161,306,44.8943,2.8943
EPL,2015,16,Bournemouth,38,11,9,18,45,67,-22,42,10.4,60,5,47.4,76.6,13.9,6.73,38.705838,-6.294162,53.968709,-13.031291,-15.262871,-6.737129,199,216,43.7723,1.7723
