Season,Number,Player,Team,Apps,Min,Goals,Assists,xG,xGdiff,xA,xAdiff,xG90,xA90
2014,126,Aaron Cresswell,West Ham,38,3420,2,4,1.24,-0.76,4.84,0.84,0.03,0.13
2014,131,Aaron Lennon,"Everton, Tottenham",23,1345,2,2,1.22,-0.78,2.71,0.71,0.08,0.18
2014,40,Aaron Ramsey,Arsenal,29,2013,6,6,6.64,0.64,5.3,-0.7,0.3,0.24
2014,92,Abel Hernández,Hull,25,1307,4,1,5.41,1.41,0.85,-0.15,0.37,0.06
2014,472,Adam Armstrong,Newcastle United,11,188,0,1,0.75,0.75,0.49,-0.51,0.36,0.23
2014,88,Adam Johnson,Sunderland,32,2085,4,1,3.22,-0.78,3.92,2.92,0.14,0.17
2014,51,Adam Lallana,Liverpool,27,1802,5,3,4.77,-0.23,3.14,0.14,0.24,0.16
2014,493,Adel Taarabt,Queens Park Rangers,7,296,0,0,0.31,0.31,0.34,0.34,0.09,0.1
2014,277,Adlène Guédioura,Crystal Palace,7,111,0,0,0.36,0.36,0.22,0.22,0.29,0.18
2014,248,Adnan Januzaj,Manchester United,18,841,0,0,1.35,1.35,1.49,1.49,0.14,0.16
2014,268,Adrián,West Ham,38,3392,0,0,0,,0.13,0.13,0,0
2014,265,Adrian Mariappa,Crystal Palace,12,838,0,0,0,,0.06,0.06,0,0.01
2014,163,Ahmed Elmohamady,Hull,38,3420,2,5,1.91,-0.09,4.92,-0.08,0.05,0.13
2014,224,Aiden McGeady,Everton,16,903,1,2,0.99,-0.01,2.22,0.22,0.1,0.22
2014,434,Ainsley Maitland-Niles,Arsenal,1,1,0,0,0,,0,,0,0
2014,186,Alan Hutton,Aston Villa,30,2415,1,0,0.93,-0.07,1.93,1.93,0.03,0.07
2014,133,Alberto Moreno,Liverpool,28,2273,2,0,1.94,-0.06,1.66,1.66,0.08,0.07
2014,527,Alejandro Faurlin,Queens Park Rangers,2,94,0,0,0.11,0.11,0.49,0.49,0.11,0.47
2014,135,Aleksandar Kolarov,Manchester City,21,1483,2,3,1.06,-0.94,1.74,-1.26,0.06,0.11
2014,468,Alex Bruce,Hull,22,1457,0,1,0.06,0.06,0.61,-0.39,0,0.04
2014,291,Alex McCarthy,Queens Park Rangers,3,237,0,0,0,,0,,0,0
2014,220,Alex Oxlade-Chamberlain,Arsenal,23,1497,1,1,2.85,1.85,3.69,2.69,0.17,0.22
2014,299,Alexandre Song,West Ham,28,2258,0,3,0.72,0.72,2.38,-0.62,0.03,0.09
2014,5,Alexis Sánchez,Arsenal,35,2967,16,8,13.45,-2.55,8.49,0.49,0.41,0.26
2014,467,Allan McGregor,Hull,26,2340,0,0,0,,0,,0,0
2014,302,Aly Cissokho,Aston Villa,25,2142,0,0,0.58,0.58,0.46,0.46,0.02,0.02
2014,42,Ander Herrera,Manchester United,26,1877,6,4,2.04,-3.96,2.12,-1.88,0.1,0.1
2014,526,Anderson,Manchester United,1,19,0,0,0,,0.09,0.09,0,0.42
2014,96,André Schürrle,Chelsea,14,428,3,0,3.25,0.25,0.6,0.6,0.68,0.13
2014,362,Andre Wisdom,West Bromwich Albion,24,1971,0,1,0.34,0.34,0.5,-0.5,0.02,0.02
2014,247,Andreas Christensen,Chelsea,1,9,0,0,0,,0,,0,0
2014,372,Andreas Pereira,Manchester United,1,12,0,0,0,,0,,0,0
2014,120,Andreas Weimann,Aston Villa,31,1782,3,2,2.72,-0.28,1.12,-0.88,0.14,0.06
2014,158,Andrej Kramaric,Leicester,13,569,2,0,2.06,0.06,0.7,0.7,0.33,0.11
2014,427,Andrew Robertson,Hull,24,1528,0,2,0.34,0.34,1.07,-0.93,0.02,0.06
2014,143,Andros Townsend,Tottenham,17,767,2,2,1.78,-0.22,0.95,-1.05,0.21,0.11
2014,57,Andy Carroll,West Ham,14,1032,5,1,3.69,-1.31,0.77,-0.23,0.32,0.07
2014,144,Andy King,Leicester,24,1366,2,0,2.06,0.06,0.13,0.13,0.14,0.01
2014,117,Ángel Di María,Manchester United,27,1642,3,10,2.93,-0.07,7.3,-2.7,0.16,0.4
2014,313,Angel Rangel,Swansea,27,2036,0,0,0.17,0.17,1.47,1.47,0.01,0.07
2014,518,Anthony Knockaert,Leicester,9,324,0,0,0.88,0.88,0.17,0.17,0.25,0.05
2014,453,Anthony Réveillere,Sunderland,16,1328,0,1,0.08,0.08,0.93,-0.07,0.01,0.06
2014,446,Antolin Alcaraz,Everton,8,516,0,0,0.12,0.12,0,,0.02,0
2014,289,Antonio Valencia,Manchester United,32,2588,0,2,0.22,0.22,2.21,0.21,0.01,0.08
2014,478,Armand Traore,Queens Park Rangers,16,770,0,0,0.39,0.39,0.19,0.19,0.05,0.02
2014,176,Arouna Koné,Everton,12,611,1,1,1.13,0.13,0.73,-0.27,0.17,0.11
2014,67,Ashley Barnes,Burnley,35,2435,5,2,5.69,0.69,1.82,-0.18,0.21,0.07
2014,303,Ashley Westwood,Aston Villa,27,2155,0,1,0.55,0.55,2.52,1.52,0.02,0.11
2014,315,Ashley Williams,Swansea,37,3330,0,0,0.4,0.4,0.15,0.15,0.01,0
2014,136,Ashley Young,Manchester United,26,2076,2,5,2.51,0.51,4.12,-0.88,0.11,0.18
2014,311,Asmir Begovic,Stoke,35,3150,0,0,0.07,0.07,0.03,0.03,0,0
2014,36,Ayoze Pérez,Newcastle United,36,2369,7,0,5.75,-1.25,2.9,2.9,0.22,0.11
2014,287,Bacary Sagna,Manchester City,9,736,0,0,0.02,0.02,0.76,0.76,0,0.09
