Season,Nos,Name,Team,Age,Position,Appearances,Minutes,Goals,Assists,Yellows,Reds,SpG,Pass%,AerialsWon,MotM,Rating
2019,150,Aaron Connolly,Brighton,19,  FW,4(4),367,2,-,-,-,1.9,83.6,1.1,1,6.67
2014,172,Aaron Cresswell,West Ham,29,  D(CL)M(L),38,3420,2,4,5,-,0.5,72.2,1.4,2,6.85
2015,165,Aaron Cresswell,West Ham,29,  D(CL)M(L),37,3315,2,4,1,-,0.8,77.5,1.1,-,6.81
2016,260,Aaron Cresswell,West Ham,29,  D(CL)M(L),24(2),2118,-,2,2,1,0.4,75.5,1.4,1,6.46
2017,193,Aaron Cresswell,West Ham,29,  D(CL)M(L),35(1),3073,1,7,7,-,0.6,77.1,1.6,-,6.69
2018,174,Aaron Cresswell,West Ham,29,  D(CL)M(L),18(2),1591,-,1,1,-,0.6,81.4,1.3,-,6.68
2015,198,Aaron Lennon,Everton,32,  M(LR),17(8),1540,5,-,1,-,0.7,81.1,-,-,6.73
2019,254,Aaron Lennon,Burnley,32,  M(LR),2(6),239,-,-,2,-,0.1,67.7,-,-,6.03
2017,114,Aaron Mooy,Huddersfield,29,  M(CL),34(2),3071,4,3,5,-,0.8,79.5,0.9,-,6.86
2018,151,Aaron Mooy,Huddersfield,29,  M(CL),25(4),2327,3,1,4,-,1.5,80.2,0.5,1,6.73
2019,112,Aaron Ramsdale,Bournemouth,21,  GK,11,990,-,1,-,-,-,54,0.1,-,6.8
2014,87,Aaron Ramsey,Arsenal,28,  M(CR),23(6),2010,6,6,6,-,2.2,86,0.6,1,7.07
2015,32,Aaron Ramsey,Arsenal,28,  M(CR),29(2),2624,5,4,4,-,2.2,86.1,0.9,2,7.21
2016,180,Aaron Ramsey,Arsenal,28,  M(CR),13(10),1231,1,4,3,-,1.8,88.4,0.3,1,6.72
2017,21,Aaron Ramsey,Arsenal,28,  M(CR),21(3),1848,7,8,-,-,2.3,84.9,0.4,1,7.27
2018,163,Aaron Ramsey,Arsenal,28,  M(CR),14(14),1331,4,6,-,-,1.2,82,0.5,-,6.7
2018,14,Aaron Wan-Bissaka,Crystal Palace,21,  D(R),35,3135,-,3,4,1,0.3,73,1.2,3,7.27
2019,43,Aaron Wan-Bissaka,Manchester United,21,  D(R),9,801,-,-,3,-,0.2,77.8,0.6,-,7.12
2016,259,Abdoulaye Doucouré,Watford,26,  M(C),14(6),1351,1,-,4,-,1.1,87,0.7,-,6.48
2017,67,Abdoulaye Doucouré,Watford,26,  M(C),37,3325,7,3,10,-,1.3,83.6,1.2,1,7
2018,140,Abdoulaye Doucouré,Watford,26,  M(C),34(1),3062,5,6,7,-,1.5,83.5,1.2,-,6.76
